sample_scope,bucket,period,n,top_10_threshold,top_5_threshold,top_1_threshold
computed,regulatory_announcement,pre_2024,5,0.3589,0.4145,0.4589
computed,regulatory_announcement,post_2024,14,0.1108,0.2979,0.4798
computed,regulatory_formal,pre_2024,14,0.36,0.4055,0.4731
computed,regulatory_formal,post_2024,22,0.6164,0.8122,0.9579
computed,other,pre_2024,14,0.133,0.4495,0.7459
computed,other,post_2024,19,-0.0074,0.0683,0.1998
anchor_robust,regulatory_announcement,post_2024,2,-0.5178,-0.4788,-0.4475
anchor_robust,regulatory_formal,pre_2024,2,-0.1373,-0.1348,-0.1327
anchor_robust,regulatory_formal,post_2024,5,0.6564,0.8252,0.9602
anchor_robust,other,post_2024,2,0.039,0.0445,0.0489
