sample_scope,bucket,period,n,mean,median,std,skewness,p10,p50,p90,p95,p99
computed,regulatory_announcement,pre_2024,5,-0.3134,-0.2315,0.6027,-0.0307,-0.999,-0.2315,0.3589,0.4145,0.4589
computed,regulatory_announcement,post_2024,14,-0.8501,-0.7968,0.8208,-0.0849,-1.9401,-0.7968,0.1108,0.2979,0.4798
computed,regulatory_formal,pre_2024,14,-0.2156,-0.1578,0.4352,-0.0923,-0.811,-0.1578,0.36,0.4055,0.4731
computed,regulatory_formal,post_2024,22,-0.4843,-0.211,1.7812,-3.1229,-1.0561,-0.211,0.6164,0.8122,0.9579
computed,other,pre_2024,14,-0.5728,-0.875,0.5515,1.2288,-0.999,-0.875,0.133,0.4495,0.7459
computed,other,post_2024,19,-0.5355,-0.5467,0.4345,-0.1034,-0.99,-0.5467,-0.0074,0.0683,0.1998
anchor_robust,regulatory_announcement,post_2024,2,-0.8301,-0.8301,0.3904,-0.0,-1.1424,-0.8301,-0.5178,-0.4788,-0.4475
anchor_robust,regulatory_formal,pre_2024,2,-0.1578,-0.1578,0.0256,0.0,-0.1782,-0.1578,-0.1373,-0.1348,-0.1327
anchor_robust,regulatory_formal,post_2024,5,-1.58,-0.192,3.1571,-1.3336,-5.0907,-0.192,0.6564,0.8252,0.9602
anchor_robust,other,post_2024,2,-0.005,-0.005,0.055,0.0,-0.049,-0.005,0.039,0.0445,0.0489
